sentence,Governing Law,Termination,Confidentiality,Limitation Of Liability,License Grant,Non-Compete,Assignment,IP Ownership,Payment Terms
"As part of the Professional Services provided by VNE, VNE will create a document entitled, ""Environment and Deployment Process.""",0,0,0,0,0,0,0,0,0
Assignment Neither this Agreement nor any part of this Agreement may be assigned or transferred by either party without the prior written consent of the other party.,0,0,0,0,0,0,1,0,0
THIS SECTION HAS BEEN FULLY DISCUSSED BY EACH OF THE PARTIES AND THESE PROVISIONS WILL NOT BE SUBJECT TO ANY EXCEPTIONS.,0,0,0,0,0,0,0,0,0
"All of the terms and provisions of this Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties hereto and their respective successors and permitted assigns.""",0,0,0,0,0,0,0,0,0
(c) The Customer shall not assign or transfer its rights or obligations under this Agreement except with MMMW's prior written consent; any prohibited assignment or transfer shall be void.,0,0,0,0,0,0,1,0,0
"Nominations, Confirmations and Imbalances Nominations.",0,0,0,0,0,0,0,0,0
SFJ will be obligated to pay or incur up to One Hundred Twenty Million U.S.,0,0,0,0,0,0,0,0,0
"This Agreement may not be assigned by either Party without the prior written consent of the other Party; provided, however that either Party may assign this Agreement, in whole or in part, to any of its Affiliates if such Party guarantees the performance of this Agreement by such Affiliate; and provided further that either Party may assign this Agreement to a successor to all or substantially all of the assets of such Party whether by merger, sale of stock, sale of assets or other similar transaction.",0,0,0,0,0,0,1,0,0
"3.1 By this Agreement, Cisco makes, and Distributor accepts, the appointment of Distributor as an authorized, non-exclusive distributor of Products and Services to Resellers located in the Territory.",0,0,0,0,1,0,0,0,0
"1.19 NEOFORMA AUCTION shall mean the functionality and services provided at the ""auction"" portion of the Neoforma Site.",0,0,0,0,0,0,0,0,0
"Without our prior written approval, you may not engage in any other type of sale, including, but not limited to: selling, distributing, or otherwise providing, any services or products to third parties at wholesale, or for resale or distribution by any third party; and selling, distributing or otherwise providing any products and/or services through catalogs, mail order, toll free numbers for delivery, or electronic means (e.g., the Internet).",0,0,0,0,0,1,0,0,0
"If PaperExchange sells advertising to a third party on the PaperExchange Site independently from VerticalNet, PaperExchange shall pay to VerticalNet a commission of ***** of the Net Advertising Revenue resulting from such advertising during the Term; provided, however, that if PaperExchange previously rejected advertising by such party when proposed by VerticalNet pursuant to Section 4.1 [Advertisements on the PaperExchange Site], or terminated without cause a prior agreement with such third party that had resulted from such a proposal by VerticalNet, then PaperExchange shall pay ***** of the Net Advertising Revenue resulting from such advertising during the Term to VerticalNet.",0,0,0,0,0,0,0,0,1
"If Aimmune obtains such a license to a Third Party Patent, Aimmune shall be entitled to credit %) of the royalties paid to such Third Party during a Calendar Quarter against the royalty payment otherwise payable by Aimmune to Xencor pursuant to this Section 7.3 with respect to such Product and such country in such Calendar Quarter.",0,0,0,0,0,0,0,0,1
"1.8 ""AbbVie Know-How"" means all Information that is (a) Controlled by AbbVie or any of its Affiliates during the Term, (b) developed or acquired by AbbVie or any of its Affiliates during the Term as a result of performance under this Agreement, (c) not generally known and (d) necessary or reasonably useful for the Exploitation of the Licensed Compound or a Licensed Product, but excluding any Joint Know-How or Information published in any AbbVie Patents or Joint Patents.",0,0,0,0,1,0,0,0,0
"E.piphany grants HSNS a non-exclusive, non-transferable, non-sublicensable license to use such Deliverables solely for is internal use consistent with the terms of this Agreement.",0,0,0,0,1,0,0,0,0
"During the term of this Agreement, Party A may terminate this Agreement at any time with a written notice to Party B 30 days before such termination.",0,1,0,0,0,0,0,0,0
10.7 Use of Name.,0,0,0,0,0,0,0,0,0
"12.2 EXCEPTING ONLY CLAIMS MADE PURSUANT TO SECTION 12.1, IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INDIRECT, SPECIAL, INCIDENTAL, EXEMPLARY, PUNITIVE OR CONSEQUENTIAL DAMAGES OF ANY KIND, INCLUDING ANY LOST PROFITS, LOST REVENUES OR LOST SAVINGS, ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT AND/OR THE PRODUCTS, WHETHER IN CONTRACT, TORT, STRICT LIABILITY OR OTHERWISE, EVEN IF THE PARTY HAS BEEN ADVISED, KNOWS OR SHOULD KNOW, OR IS OTHERWISE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",0,0,0,1,0,0,0,0,0
"(b) Sanofi shall have the right to grant sublicenses (through multiple tiers) under the rights granted to it under Section 3.1 to one or more Third Parties (i) outside of the United States, and (ii) in the United States; provided that for purposes of subsection (ii), Sanofi shall not sublicense substantially all of the rights granted to it under Section 3.1 in the United States to Third Parties without RevMed's prior written consent, such consent not to be unreasonably withheld, delayed or conditioned.",0,0,0,0,0,0,1,0,0
o Creative rotation changes/refreshes require 3 business days from the time all advertiser materials/instructions are received.,0,0,0,0,0,0,0,0,0
Changing Password Users often want to change their password.,0,0,0,0,0,0,0,0,0
"The obligations of the Agent hereunder, as to the Shares to be delivered at the Closing Date, are subject, to the extent not waived in writing by the Agent, to the condition that all representations and warranties of the Company, the MHC and the Bank herein are, at and as of the commencement of the Offering and at and as of the Closing Date, true and correct in all material respects, the condition that the Company, the MHC and the Bank shall have performed all of their obligations hereunder to be performed on or before such dates, and to the following further conditions: (a) At the Closing Date, the Company, the MHC and the Bank shall have conducted the Offering in all material respects in accordance with the Plan, the MHC Regulations, and all other applicable laws, regulations, decisions and orders, including all terms, conditions, requirements and provisions precedent to the Offering imposed upon them by the OTS.",0,0,0,0,0,0,0,0,0
(f) Consideration.,0,0,0,0,0,0,0,0,0
14.6 Assignment The Manufacturer may not transfer or assign any of its rights or obligations under this agreement without the prior written consent of the Customer.,0,0,0,0,0,0,1,0,0
"This Agreement has been entered into in the State of Tennessee, and the validity, interpretation and legal effect of this Agreement will be governed by the laws of the State of Tennessee applicable to contracts entered into and performed entirely within the State of Tennessee.",1,0,0,0,0,0,0,0,0
This Agreement shall be governed by the internal laws State of New York.,1,0,0,0,0,0,0,0,0
We will have the right to terminate the Ad Fund by giving you thirty (30) days' advance written notice.,0,1,0,0,0,0,0,0,0
C. EFFECT OF TERMINATION.,0,0,0,0,0,0,0,0,0
Any assignment not in accordance with this Agreement shall be void.,0,0,0,0,0,0,1,0,0
"Force Majeure 5.1 As soon as possible upon the occurrence of a Force Majeure event, the affected Party shall provide the other Party written notice of the occurrence of such Force Majeure event (a ""Force Majeure Notice"").",0,0,0,0,0,0,0,0,0
14.,0,0,0,0,0,0,1,0,0
"(iii) Upon the third failure by King to meet the PDE Minimum during any six consecutive Agreement Quarters, Depomed shall have the right to [***] or demand that King shall cure such default in the same manner outlined in clause (i) above for the first such default.",0,0,0,0,0,0,0,0,1
"In the case of RevMed, the intellectual property owned or controlled by any such Acquiror or its Acquiror Family prior to the applicable Change of Control or other similar transaction immediately prior to such acquisition (other than as a result of a license from the acquired Party) or is thereafter developed outside the scope of this Agreement in accordance with this Agreement shall be excluded from the RevMed Licensed Technology, in each case only for so long as the remainder of the conditions of this Section 15.2 are met, and the Acquiror Family shall be excluded from ""Affiliate"" solely for purposes of the applicable components of the intellectual property definitions set forth herein, in all such cases if and only if: (A) the acquired Party remains a wholly-owned subsidiary of the Acquiror; (B) all intellectual property of the Acquired Party Family and 75 Source: REVOLUTION MEDICINES, INC., S-1, 1/17/2020 all research and development assets and operations of the Acquired Party Family, in each case relating to SHP2 Inhibitors and Products, remain with the Acquired Party Family and are not licensed or otherwise transferred to the Acquiror Party Family for any purpose; (C) the scientific and Development activities with respect to SHP2 Inhibitors and Products of the Acquired Party Family and Competing Products of the Acquiror Family (if any) are maintained separate and distinct, and (D) there is no exchange of Know-How relating to SHP2 Inhibitors and Products between the Acquired Party Family and the Acquiror Family.",0,0,0,0,0,0,1,0,0
"- The parties understand and agree that WLI does not warrant any part of the Peripheral equipment that is not sold directly by WLI - Within 14 days from discovery of a defect, the Integrator shall notify WLI in writing of said defect.",0,0,0,0,0,0,0,0,0
"For purposes of this Section 20.1, a Competitive Business shall mean a self-service restaurant or fast-food business which sells chicken and/or Mexican food products, which products individually or collectively represent more than twenty percent (20%) of the revenues from such self-service restaurant or fast-food business operated at any one location during any calendar quarter.",0,0,0,0,0,1,0,0,0
"d) Save the event of gross negligence or willful misconduct, pursuant to the provisions in this numeral 11.2, the responsibility of ECOPETROL under the Contract hereof under no circumstance shall exceed seventy five per cent (75%) of the value of the Crude lost or damaged by causes attributable to ECOPETROL.",0,0,0,1,0,0,0,0,0
"IF A CLAIM OR CAUSE OF ACTION IS ATTRIBUTABLE TO A PRODUCT OR ANY SERVICES PROVIDED UNDER THE SUBSCRIPTION LICENSE AGREEMENT, THE REMEDIES SET FORTH IN THE SUBSCRIPTION LICENSE AGREEMENT, TO THE EXCLUSION OF THE REMEDIES SET FORTH IN THIS AGREEMENT, SHALL CONSTITUTE THE SOLE AND EXCLUSIVE REMEDIES AVAILABLE TO A PARTY FOR SUCH CLAIM OR CAUSE OF ACTION.",0,0,0,1,0,0,0,0,0
"At any time during a renewed term, this Agreement may be terminated by any party on six (6) months prior notice that it wishes to terminate the Agreement.",0,1,0,0,0,0,0,0,0
"F-1 Source: GPAQ ACQUISITION HOLDINGS, INC., S-4/A, 1/23/2020 EXHIBIT G CONSTELLATION'S MARKS CONSTELLATION AMERICA'S ENERGY CHOICE Exh.",0,0,0,0,0,0,0,0,0
"NOW THEREFORE, in consideration of the premises and of the mutual covenants and agreements contained herein and of other good and valuable consideration, the Parties have agreed and do hereby agree as follows: Richard Flavell (CERES) Jeff Gwyn (CERES) Charlie Rodgers (CERES) Timothy Swaller (CERES) Page 1 of 9 1.",0,0,0,0,0,0,0,0,0
12.27 A Party may sell capacity in fascicles smaller than a STM-1 in the APCN 2 at any time on any basis other than by transfer of ownership.,0,0,0,0,0,0,0,0,0
"""Quality Agreement"" means the Quality Agreement as described further in clause 8.1 of this Agreement, as the same may be amended or supplemented from time to time in accordance with the terms thereof.",0,0,0,0,0,0,0,0,0
"In lieu of any other royalty, the parties shall share Cash Sales from the sale of such independently developed T&B Products that are generated directly and independently by LEA as follows: [●%] to LEA [●%] to T&B 8.",0,0,0,0,0,0,0,0,1
"If such non-conforming Cell Site has not been cured within such nine (9) month cure period (or 60-day cure period in the case of a Lien), AT&T shall have no further obligation to pay any Maintenance Fees to Vendor with respect to such non-conforming Cell Site until the non-conformance has been cured.",0,0,0,0,0,0,0,0,0
"14.2 Each Party may also terminate the Agreement for convenience after Contract Year 2 (as defined in Section 14.4) by providing written notice to the other Party at least sixty (60) calendar days prior to the effective date of such termination 14.3 Except as provided in (i) Section 5.2 for immediate termination subject to cure provisions in Section 14.1 , (ii) Section 14.1 for termination following notice, and (iii) Section 14.5 for immediate termination without notice, if either Party defaults in the performance, or breaches any provision, of this Agreement, then the non- defaulting Party may give written notice to the defaulting Party requiring the default or breach to be cured, and if the default or breach is not cured within fifteen (15) days of the receipt of the notice, this Agreement shall, without prejudice to any accrued right, automatically terminate at the end of the fifteen (15) day period.",0,1,0,0,0,0,0,0,0
"e)Kallo's cumulative liability under this agreement, including any cause of action in contract, tort or strict liability, shall be limited to the license fees paid by agent during the 12 months prior to such event.",0,0,0,1,0,0,0,0,0
"Subject to the terms and conditions of this Agreement, the Company hereby grants to Seller a perpetual, non- exclusive, royalty-free license in, to and under the Company Licensed Know-How for use in the Arizona Field throughout the world.",0,0,0,0,1,0,0,0,0
Voluntary Withdrawal of a Participant Any Participant will have the right to voluntarily withdraw from the Joint Venture at any time.,0,1,0,0,0,0,0,0,0
Neither this Agreement nor the rights of either Party hereunder shall be assigned by either Party without the prior written consent of the other Party.,0,0,0,0,0,0,1,0,0
"Each party represents and warrants to the other that: (a) it is duly organized and validly existing under the laws of its jurisdiction of incorporation or formation, and has full corporate power and authority to enter into this Agreement and to carry out the provisions hereof; (b) it is duly authorized to execute and deliver this Agreement and to perform its obligations hereunder, and the person or persons executing this Agreement on its behalf has been duly authorized to do so by all requisite corporate action; (c) this Agreement is legally binding upon it, enforceable in accordance with its terms; and (d) the execution, delivery and performance of this Agreement by it does not conflict with any agreement, instrument or understanding, oral or written, to which it is a party or by which it may be bound, nor violate any material law or regulation of any court, governmental body or administrative or other agency having jurisdiction over it.",0,0,0,0,0,0,0,0,0
Fox will remit all VGSL Revenue to Licensee and such VGSL Revenue shall be treated as Gross Receipts for the purpose of this Agreement.,0,0,0,0,0,0,0,0,1
The headings and captions in this Agreement have been inserted for convenience of reference only and shall not define or limit any of the terms and provisions hereof.,0,0,0,0,0,0,0,0,0
"In this regard, it is specifically understood and agreed that CONTENT PROVIDER will not during the Term of this Agreement take any action to exploit or otherwise use, reproduce, distribute, transmit and publicly display any of the Content via the internet to Universities and College students in the People's Republic of China except for the benefit of the COMPANY.",0,0,0,0,1,0,0,0,0
"2.1.4 ctDNA Licenses FMI hereby grants to Roche (i) an exclusive, royalty-free, sublicensable, worldwide and perpetual license to any intellectual property rights arising from the ctDNA Development Platform Program that are necessary for Roche to develop, make, have made, use, offer for sale, sell, import and commercialize Roche products other than diagnostic products (including the use, formulation, methods of treatment, clinical data or other data, information or results relating to the Roche therapeutic product) solely for use in connection with such activities and such Roche products and (ii) a non-exclusive, royalty-free, worldwide and perpetual license, with the right to grant sublicenses solely to Roche Affiliates, to any intellectual property rights arising from the ctDNA Development Platform Program, for internal research purposes.",0,0,0,0,1,0,0,0,0
"Distributor's appointment as a distributor of the Airspan Products grants to Distributor only a license to resell the - ------------------------------------------------------------------------------- Page 1 Airspan Products to Distributor's customers in the Territory, and does not transfer any right, title, or interest in any of the Airspan Software to Distributor.",0,0,0,0,1,0,0,0,0
"11 (i) Subject to the terms and conditions of this Agreement, the Company hereby grants to Allscripts and its Affiliates a non-exclusive, royalty- free, irrevocable [***] non-transferable (except in accordance with Section 28.4), sublicensable (through multiple levels of sublicensees), fully paid- up right and license under all of the Company's Intellectual Property to use the Company's brands, trademarks, product and service names, logos and slogans (the ""Company Marks""), throughout the Territory, solely in connection with the marketing, selling, or provision of the Installed Software and the Subscription Software Services and Merchant Processing Services permitted hereunder or to otherwise fulfill the terms of this Agreement.",0,0,0,0,1,0,0,0,0
"The licenses granted herein are exclusive worldwide licenses to: 1. make, have made, use, lease, sell and import Licensed Products for the legal purposes of researching, developing, manufacturing, assembling, distributing, and selling the Licensed Products; 2. make, have made, use and import machines, tools, materials and other instrumentalities, insofar as such machines, tools, materials and other instrumentalities are involved in or incidental to the research, development, manufacture, testing or repair of Licensed Products which are or have been made, used, leased, owned, sold or imported by the Licensee; and 3. convey to any customer of the Licensee, with respect to any Licensed Product which is sold or leased to such customer, rights to use and resell such Licensed Product as sold or leased by Licensee (whether or not as part of a larger combination); provided, however, that no rights may be conveyed to customers with respect to any Invention which is directed to (i) a combination of such Licensed Product (as sold or leased) with any other product, (ii) a method or process which is other than the inherent use of such Licensed Product itself (as sold or leased), or (iii) a method or process involving the use of a Licensed Product to manufacture (including associated testing) any other product.",0,0,0,0,1,0,0,0,0
"(k) ""Arizona Licensed Know-How"" means all Know-How owned by Licensing or Seller or their respective Affiliates, as of the Effective Date and used or held for use in the Company Field during the five (5) years prior to the Effective Date (other than the Arizona Assigned Know- How).",0,0,0,0,1,0,0,0,0
"8 Source: GARRETT MOTION INC., 8-K, 10/1/2018 Table of Contents Section 5.02.",0,0,0,0,0,0,0,0,0
This Agreement may not be assigned by DeltaThree without the prior written consent of PrimeCall.,0,0,0,0,0,0,1,0,0
Neither Party may assign its rights or delegate any of its duties under this Agreement without the prior written consent of the other Party.,0,0,0,0,0,0,1,0,0
"13.3 EXCEPT FOR EACH PARTY'S CONFIDENTIALITY OBLIGATIONS SET FORTH IN SECTION 12 AND INDEMNIFICATION OBLIGATIONS SET FORTH IN THIS SECTION 13, WITHOUT LIMITING ANY RIGHT DISTRIBUTOR MAY HAVE UNDER LOCAL STATUTES THAT CANNOT BE EXCLUDED, RESTRICTED OR MODIFIED, NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR SPECIAL DAMAGES, OR FOR DAMAGES DUE TO LOSS OF PROFITS, LOSS OF BUSINESS, LOSS OF USE OR DATA, OR INTERRUPTION OF BUSINESS, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",0,0,0,1,0,0,0,0,0
This Agreement shall be interpreted and enforced according to the laws of the State of California without regard to principles of conflict of laws.,1,0,0,0,0,0,0,0,0
"Distributor shall maintain for at least two (2) years and make readily available to STAAR or its duly authorized representatives' books, records and accounts prepared in accordance with generally accepted accounting principles that accurately and completely reflect the nature of every transaction related to the sale of the Products.",0,0,0,0,0,0,0,0,0
"9.3 Subject to the statutory duties of the Texas State Attorney General, any indemnified Party shall: (a) notify the indemnifying Party in writing as soon as is reasonably possible after receipt of notice of any and all claims, lawsuits, and demands, or any action, suit, or proceeding giving rise to the right of indemnification; (b) permit the indemnifying Party to retain counsel to represent the named indemnified Party; and (c) permit the indemnifying Party to retain control of any such claims, lawsuits, and demands, including the right to make any settlement, except that the indemnifying Party shall not make any settlement or take any other action which would be deemed to confess wrongdoing by any of the indemnified Parties without the prior written consent of the applicable indemnified Party.",0,0,0,0,0,0,0,0,0
Client further agrees that Company may use and display the graphics and other web design elements of Client's website as examples of Company website design and development work.,0,0,0,0,1,0,0,0,0
"Except as may be set forth in the Subscription License Agreement, Converge acknowledges and agrees that Vert has no obligation to deliver Source Code for any Maintenance Update, or to grant Converge any license to use the Source Code form of any Maintenance Update.",0,0,0,0,0,0,0,0,0
(d) Decision of the Arbitration Tribunal.,0,0,0,0,0,0,0,0,0
"For the avoidance of doubt, the parties acknowledge that the foregoing restriction applies only to persistent sponsorship placement as judged by Sponsor at its discretion, and not to run-of-site banner advertisements or other rotating promotional placements.",0,0,0,0,0,1,0,0,0
"To the extent needed to perfect AT&T's ownership in AT&T Data, Vendor hereby assigns all right, title and interest in AT&T Data to AT&T.",0,0,0,0,0,0,0,1,0
Such payment shall be made according to the schedule and terms set forth in Section 14(b) of this AGREEMENT.,0,0,0,0,0,0,0,0,0
"The license granted by Licensee pursuant to Section 9.2.2 shall be extended to also include the Development, Manufacture, sale, import or other Commercialization of Licensed Products in the Field in the Territory, and, unless this Agreement is terminated by Bioeq pursuant to pursuant to Sections 15.2.1, 15.2.2, 15.2.3, 15.2.4, 15.2.8 or 15.2.9, or by Licensee pursuant to Section 15.2.5 (in  Licensee Improvement, at [***].",0,0,0,0,0,0,0,0,1
"In the event that Microgenics reasonably believes that Achaogen has breached the foregoing covenant, Microgenics shall provide written notice thereof, including reasonable supporting evidence, and, in the event that Achaogen agrees with such written notice and does not indicate to Microgenics that it will conform its activities to the scope of the Transfer License within ) business days after receiving the written notice, then the Transfer License shall be void as of the end of [***] period described in this sentence.",0,0,0,0,0,0,0,0,0
"""Agreement"" means this Amended and Restated Operations and Maintenance Agreement (including all exhibits), as amended from time to time in accordance with the terms hereof.",0,0,0,0,0,0,0,0,0
"D.Notwithstanding paragraphs 4A, 4B and 4C above, CONSULTANT shall be entitled to endorse and play the [*****].",0,0,0,0,0,1,0,0,0
"(g) This Agreement shall be governed by the laws of the State of New York, without giving effect to its principles of conflicts of laws, other than Section 5-1401 of the New York General Obligations Law.",1,0,0,0,0,0,0,0,0
"1 Neither Party shall be entitled to cede, or delegate its rights and obligations arising from this AGREEMENT or to assign this AGREEMENT to any other person or entity without the prior written consent of the other party provided that either party shall be entitled to assign this AGREEMENT, in whole and not part only, to any of its' subsidiary or holding companies (as defined and contemplated in the Companies Act of 1973, as amended) provided that any such assignment shall ipso facto cease to be of any further force and effect as between the parties, should the assignee cease, for whatever reason, to be a subsidiary or holding company, of the assignor.",0,0,0,0,0,0,1,0,0
"1.14 ""Business Day"" shall mean any day other than a Saturday, Sunday, or a bank or other public holiday in New York, New York, United States.",0,0,0,0,0,0,0,0,0
"Following AbbVie's exercise of the License Option, and within , Harpoon shall provide AbbVie with the Final Development Report.",0,0,0,0,0,0,0,0,0
"MP3.com agrees to deliver a guaranteed minimum of 3,000,000 Impressions per month for the term of this Agreement.",0,0,0,0,0,0,0,0,1
"All claims for any cause whatsoever, whether based in contract, negligence or other tort, strict liability, breach of warranty or otherwise, shall be deemed waived unconditionally and absolutely unless Seller receives written notice of such claim not later than one hundred fifty (150) days after Buyer's receipt of Product as to which such claim is made.",0,0,0,1,0,0,0,0,0
"In the event we provide any such additional training, assistance or consultation, you will be responsible for all costs and expenses for that training assistance or consultation, which may include a fee payable to us.",0,0,0,0,0,0,0,1,0
"Following the Effective Date, PB may amend any SOPs; provided that with respect to material amendments to SOPs that pertain to Clinical Trials activities and/or other obligations that are, or will be, performed by PB or any Permitted Third Party utilized by PB during the remainder of the Term or any time thereafter as set forth in this Agreement, PB will provide the JDC with a copy of each such amendment to permit the JDC Representatives to review and comment on such amendments and PB will reasonably consider incorporating such comments.",0,0,0,0,0,0,0,0,0
TELKOM shall install the SOFTWARE only on the DESIGNATED UNIT located at the DESIGNATED SITE as agreed to by the parties in annexure 1 hereto.,0,0,0,0,0,0,0,0,0
"This Agreement and any dispute arising from the performance or breach hereof shall be governed by and construed and enforced in accordance with, the laws of the State of California, without reference to conflicts of laws principles.",1,0,0,0,0,0,0,0,0
"A Participant will not be liable to the Joint Venture, or to any other Participant, for any mistake or error in judgment or for any act or omission done in good faith and believed to be within the scope of authority conferred or implied by this Agreement or the Joint Venture.",0,0,0,1,0,0,0,0,0
5.05 Records Management.,0,0,0,0,0,0,0,0,0
"Other than pursuant to this Section 10.12(b)(v), the arbitration award shall not include any indirect, incidental, special, consequential, or punitive damages and the arbitrators shall be so instructed.",0,0,0,1,0,0,0,0,0
"After notice from an Indemnifying Party to an Indemnitee of its election to assume the defense of a Third-Party Claim, such Indemnitee shall have the right to employ separate counsel and to participate in (but not control) the defense, compromise, or settlement thereof, but the fees and expenses of such counsel shall be the expense of such Indemnitee; provided, however, in the event that the Indemnifying Party has elected to assume the defense of the Third-Party Claim but has specified, and continues to assert, any reservations or exceptions in such notice, then, in such case, the reasonable fees and expenses of one separate counsel for all Indemnitees shall be borne by the Indemnifying Party; and provided further that the Indemnifying Party will pay the reasonable fees and expenses of such separate counsel if, based on the reasonable opinion of legal counsel to the Indemnitee, a conflict or potential conflict of interest exists between the Indemnifying Party and the Indemnitee which makes representation of both parties inappropriate under applicable standards of professional conduct.",0,0,0,0,0,0,0,0,0
"(c) Member covenants and agrees that during the Post-Term Period (defined below), except as otherwise approved in writing by Franchisor, Member shall not, either directly or indirectly, own, manage, engage in, be employed by, advise, make loans to, consult for, or have any other interest in any Competitive Business that is, or intends to operate, within a three (3) mile radius of the premises of your Franchised Business or within a three (3) mile radius of any Franchised Business then-operating or under construction to operate under the System.",0,0,0,0,0,1,0,0,0
Matters relating to Work under this Agreement may be at issue before various governmental bodies.,0,0,0,0,0,0,0,0,0
"Signatures to this Agreement delivered by facsimile or other electronic transmission (e.g., portable document format (PDF)) will be deemed to be binding as original signatures.",0,0,0,0,0,0,0,0,0
"Source: MUSCLEPHARM CORP, 10-K/A, 2/8/2017 Exhibit ""B"" Royalty Statement Company Name:MusclePharm Corporation Licensee Address:4721 Ironton Street, Unit A, Denver, Colorado 80239 For Quarter Ending:____________________ Customer Name Item/SKU Number or Description Invoice Price No.",0,0,0,0,0,0,0,0,0
Section 8.03 Cost and Expenses.,0,0,0,0,0,0,0,0,0
This provision may not be enforceable under California law.,0,0,0,0,0,0,0,0,0
"EACH PARTY ACKNOWLEDGES AND AGREES THAT ANY CONTROVERSY WHICH MAY ARISE UNDER THIS AGREEMENT IS LIKELY TO INVOLVE COMPLICATED AND DIFFICULT ISSUES AND, THEREFORE, EACH SUCH PARTY IRREVOCABLY AND UNCONDITIONALLY WAIVES ANY RIGHT IT MAY HAVE TO A TRIAL BY JURY IN RESPECT OF ANY LEGAL ACTION ARISING OUT OF OR RELATING TO THIS AGREEMENT OR THE TRANSACTIONS CONTEMPLATED BY THIS AGREEMENT.",0,0,0,0,0,0,0,0,0
"No right or interest in this Agreement shall be assigned by Schoolpop without prior written permission of AEIS, which shall not be unreasonably withheld.",0,0,0,0,0,0,1,0,0
1.A.,0,0,0,0,0,0,0,0,0
"In the event that the final price of any Product to be sold to Aura by Zanotti pursuant to this Agreement upto, equal or exceeds 150% of the final price of any substantially-similar third part produc, Aura shall notify Zanotti of this lower price and provide Zanotti with the opportunity to match such price with respect to such Product.",0,0,0,0,0,0,0,0,0
"DISTRIBUTOR agrees to submit proposed uses of the PPG Trademarks on labels to the Director of Automotive Refinish (Asia Pacific region), or such other person as PPG SHANGHAI may designate from time to time, for review and approval.",0,0,0,0,0,0,1,0,0
"(2) Athlete will provide Naked with access to Wade's contacts and Wade's expertise and breadth of experience as it pertains to the business of Naked; (3) Wade will provide any reasonable additional assistance as may be mutually agreed upon by Naked and Wade from time to time; and (4) Wade grants Naked the right to publicly identify Wade as a member of the Advisory Board, Creative Director, Stockholder, and Partner of Naked, and in the event that Wade joins the Board, as Director, and may include his name and biography in materials published by Naked, including any prospectus or offering materials or to publish any other information regarding Wade in any documents required to be filed pursuant to applicable laws and regulations.",0,0,0,0,0,0,0,0,0
"CHANNEL PARTNER'S PAYMENT OBLIGATIONS, LIABILITY FOR EARLY TERMINATION FEES OR CHARGES, BREACHES OF CONFIDENTIALITY BY EITHER PARTY, MISAPPROPRIATION OF INTELLECTUAL PROPERTY RIGHTS OF THE OTHER PARTY, AND THE PARTIES' INDEMNIFICATION OBLIGATIONS UNDER THIS AGREEMENT ARE EXCLUDED FROM THESE LIMITATIONS OF LIABILITY.",0,0,0,1,0,0,0,0,0
13.2 The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.,0,0,0,0,1,1,0,0,0
"All Parties hereto shall cooperate to obtain or continue all necessary approvals or authorizations, but no Party shall be liable to any other party for failure to obtain or continue such approvals or authorizations.",0,0,0,0,0,0,0,0,0
"(b) To the extent that Reseller or any Other Reseller is deemed to be the owner of all or any portion of the TouchStar Software, any Intellectual Property Rights of TouchStar or any Ancillary Software, or any improvements or intellectual property rights related thereto pursuant to applicable law, Reseller (i) hereby assigns exclusively to TouchStar all rights of Reseller in and to such Software and any improvements and intellectual property rights related thereto royalty-free and exclusively and (ii) shall include in any Other Reseller Agreement provision by which any Other Reseller grants to TouchStar an exclusive, perpetual, irrevocable, royalty-free assignment of all deemed rights of such Other Reseller in and to such TouchStar Software, Ancillary Software and Intellectual Property Rights.",0,0,0,0,1,0,0,1,0
Entire Agreement.,0,0,0,0,0,0,0,0,0
"Under such circumstances the Sellers, however, are still under the obligation to take all necessary measures to hasten the delivery of the goods.",0,0,0,0,0,0,0,0,0
"The captions appearing in this Agreement are inserted only as a matter of convenience and for reference and in no way define, limit or describe the scope and intent of this Agreement or any of the provisions hereof.",0,0,0,0,0,0,0,0,0
The Company will have the ability to terminate this Agreement by giving 60 days' prior written notice to the Contractor.,0,1,0,0,0,0,0,0,0
Resolution of Disputes.,0,0,0,0,0,0,0,0,0
(iv) * * * Drkoop.com's obligations with respect to each area of the drkoop.com Website set forth in this Section 1.2 shall also apply to all areas which are successors or replacements to such areas and to all new vitamin and nutrition areas on the drkoop.com Website launched on the drkoop.com Website after the date of this Agreement.,0,0,0,0,0,0,0,0,0
Any unauthorized assignment of this Agreement is void.,0,0,0,0,0,0,1,0,0
"The licensee shall not take any action inconsistent with the owner's ownership of the Marks, and any benefits accruing from use of such Marks shall automatically vest in the owner.",0,0,0,0,0,0,0,0,0
